experiment_id,feature,k1,k2,dropout1,dropout2,batch_size,lr,test_acc,precision,recall,f1_score,final_train_loss,min_train_loss,training_time_sec,num_params,confusion_matrix_path,classification_report_path,learning_curve_path
19,MFCC,32,64,0.3,0.3,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6251287123536676,0.6233094559129337,24.908260583877563,18946,Results/Tuning\cm_exp_19.csv,Results/Tuning\report_exp_19.csv,Results/Tuning\learning_curve_exp_19.csv
20,MFCC,32,64,0.3,0.3,16,0.001,73.2603092783505,0.6926346357614144,0.6397875441018561,0.6491279679460464,0.5645949007049809,0.5619688506129634,24.955639839172363,18946,Results/Tuning\cm_exp_20.csv,Results/Tuning\report_exp_20.csv,Results/Tuning\learning_curve_exp_20.csv
21,MFCC,32,64,0.3,0.3,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6100410815823046,0.6100410815823046,24.730281352996826,18946,Results/Tuning\cm_exp_21.csv,Results/Tuning\report_exp_21.csv,Results/Tuning\learning_curve_exp_21.csv
22,MFCC,32,64,0.3,0.3,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.625965496656057,0.623391288357812,16.358113288879395,18946,Results/Tuning\cm_exp_22.csv,Results/Tuning\report_exp_22.csv,Results/Tuning\learning_curve_exp_22.csv
23,MFCC,32,64,0.3,0.3,32,0.001,70.61855670103093,0.6515761475144675,0.5970317533364012,0.5991435853865761,0.577430602666494,0.577430602666494,16.826777458190918,18946,Results/Tuning\cm_exp_23.csv,Results/Tuning\report_exp_23.csv,Results/Tuning\learning_curve_exp_23.csv
24,MFCC,32,64,0.3,0.3,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6178640869823662,0.6136325903840967,16.698222398757935,18946,Results/Tuning\cm_exp_24.csv,Results/Tuning\report_exp_24.csv,Results/Tuning\learning_curve_exp_24.csv
25,MFCC,32,64,0.3,0.3,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6263820541802273,0.6220396516784545,13.160260438919067,18946,Results/Tuning\cm_exp_25.csv,Results/Tuning\report_exp_25.csv,Results/Tuning\learning_curve_exp_25.csv
26,MFCC,32,64,0.3,0.3,64,0.001,69.6520618556701,0.6696953283683141,0.5360446387482742,0.4918299120112285,0.5861442838945696,0.5839313882332976,13.457634449005127,18946,Results/Tuning\cm_exp_26.csv,Results/Tuning\report_exp_26.csv,Results/Tuning\learning_curve_exp_26.csv
27,MFCC,32,64,0.3,0.3,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6150700651830242,0.6149340688541372,12.835537195205688,18946,Results/Tuning\cm_exp_27.csv,Results/Tuning\report_exp_27.csv,Results/Tuning\learning_curve_exp_27.csv
28,MFCC,32,64,0.3,0.4,16,0.01,68.68556701030928,0.7004458480401263,0.508275809173186,0.4262293585518809,0.6110814777493154,0.6110814777493154,24.08968186378479,18946,Results/Tuning\cm_exp_28.csv,Results/Tuning\report_exp_28.csv,Results/Tuning\learning_curve_exp_28.csv
29,MFCC,32,64,0.3,0.4,16,0.001,72.10051546391753,0.7052942159133493,0.5871874520631999,0.5791754414638836,0.5592900383763197,0.5564934862499961,24.116673231124878,18946,Results/Tuning\cm_exp_29.csv,Results/Tuning\report_exp_29.csv,Results/Tuning\learning_curve_exp_29.csv
30,MFCC,32,64,0.3,0.4,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6102439477676298,0.6102439477676298,24.659677743911743,18946,Results/Tuning\cm_exp_30.csv,Results/Tuning\report_exp_30.csv,Results/Tuning\learning_curve_exp_30.csv
31,MFCC,32,64,0.3,0.4,32,0.01,68.4278350515464,0.6140924956369982,0.5080227028685381,0.430526101386243,0.6121128861968582,0.6086803829347766,17.345045804977417,18946,Results/Tuning\cm_exp_31.csv,Results/Tuning\report_exp_31.csv,Results/Tuning\learning_curve_exp_31.csv
32,MFCC,32,64,0.3,0.4,32,0.001,70.94072164948454,0.664392080469028,0.5841425065194048,0.5793393371736275,0.5738444025452073,0.5738444025452073,17.155818462371826,18946,Results/Tuning\cm_exp_32.csv,Results/Tuning\report_exp_32.csv,Results/Tuning\learning_curve_exp_32.csv
33,MFCC,32,64,0.3,0.4,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6149262060990205,0.6149262060990205,17.035757303237915,18946,Results/Tuning\cm_exp_33.csv,Results/Tuning\report_exp_33.csv,Results/Tuning\learning_curve_exp_33.csv
34,MFCC,32,64,0.3,0.4,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6263120065453232,0.6220278752747402,13.11562204360962,18946,Results/Tuning\cm_exp_34.csv,Results/Tuning\report_exp_34.csv,Results/Tuning\learning_curve_exp_34.csv
