feature,mean_acc,std_acc,k1,k2,dropout1,dropout2,batch_size,lr
MFCC+GFCC+LPC,74.06688158961796,1.4726665079500285,64,256,0.2,0.4,16,0.001
MFCC+GFCC,73.78375255476865,1.4218695400200014,32,128,0.3,0.3,16,0.001
GFCC,72.21191010333368,1.250012115851846,32,256,0.2,0.3,16,0.001
GFCC+LPC,73.65569944859232,1.2294708683889872,64,256,0.2,0.3,16,0.001
MFCC,74.9432512498812,1.1716662016569008,64,256,0.3,0.4,16,0.001
MFCC+LPC,73.6082351238446,1.0661307930266883,32,256,0.3,0.4,16,0.001
LPC,70.8423829619971,1.0349697044159072,64,128,0.3,0.4,16,0.001
