feature,mean_acc,std_acc,k1,k2,dropout1,dropout2,batch_size,lr
MFCC,73.29812242998418,1.7370631240170473,64,128,0.3,0.3,16,0.001
GFCC,67.36111679112017,3.031316506489867,32,64,0.2,0.3,16,0.001
LPC,66.71026933349303,1.729629489846997,64,128,0.3,0.3,16,0.001
